getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
encryptionKeyShardTablePage	encryption_key_shard_table_page_	encryption_key_shard			130	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:11004,src/core/catalog_manager.cpp:11006,src/core/catalog_manager.cpp:11007,src/core/catalog_manager.cpp:12850,src/core/catalog_manager.cpp:19893,src/core/catalog_manager.cpp:20219
encryptionBootstrapInfoTablePage	encryption_bootstrap_info_table_page_	encryption_bootstrap_info			131	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:11010,src/core/catalog_manager.cpp:11012,src/core/catalog_manager.cpp:11013,src/core/catalog_manager.cpp:12856,src/core/catalog_manager.cpp:19894,src/core/catalog_manager.cpp:20220
nodeTablePage	node_table_page_	node			132	1	0	no	ok	27	2	0	src/core/catalog_manager.cpp:11017,src/core/catalog_manager.cpp:11019,src/core/catalog_manager.cpp:11020,src/core/catalog_manager.cpp:12861,src/core/catalog_manager.cpp:19895,src/core/catalog_manager.cpp:20221
nodeRoleBindingTablePage	node_role_binding_table_page_	node_role_binding			133	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:11023,src/core/catalog_manager.cpp:11025,src/core/catalog_manager.cpp:11026,src/core/catalog_manager.cpp:12866,src/core/catalog_manager.cpp:19896,src/core/catalog_manager.cpp:20222
nodeServiceTablePage	node_service_table_page_	node_service			134	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:11029,src/core/catalog_manager.cpp:11031,src/core/catalog_manager.cpp:11032,src/core/catalog_manager.cpp:12871,src/core/catalog_manager.cpp:19897,src/core/catalog_manager.cpp:20223
nodeCapabilityTablePage	node_capability_table_page_	node_capability			135	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:11035,src/core/catalog_manager.cpp:11037,src/core/catalog_manager.cpp:11038,src/core/catalog_manager.cpp:12876,src/core/catalog_manager.cpp:19898,src/core/catalog_manager.cpp:20224
clockPolicyTablePage	clock_policy_table_page_	clock_policy			136	1	0	no	ok	16	2	0	src/core/catalog_manager.cpp:11041,src/core/catalog_manager.cpp:11043,src/core/catalog_manager.cpp:11044,src/core/catalog_manager.cpp:12881,src/core/catalog_manager.cpp:19899,src/core/catalog_manager.cpp:20225
clockSourceTablePage	clock_source_table_page_	clock_source			137	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:11047,src/core/catalog_manager.cpp:11049,src/core/catalog_manager.cpp:11050,src/core/catalog_manager.cpp:12886,src/core/catalog_manager.cpp:19900,src/core/catalog_manager.cpp:20226
nodeClockStateTablePage	node_clock_state_table_page_	node_clock_state			138	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:11053,src/core/catalog_manager.cpp:11055,src/core/catalog_manager.cpp:11056,src/core/catalog_manager.cpp:12891,src/core/catalog_manager.cpp:19901,src/core/catalog_manager.cpp:20227
clockViolationEventTablePage	clock_violation_event_table_page_	clock_violation_event			139	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:11059,src/core/catalog_manager.cpp:11061,src/core/catalog_manager.cpp:11062,src/core/catalog_manager.cpp:12896,src/core/catalog_manager.cpp:19902,src/core/catalog_manager.cpp:20228
