getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
indexMaintenanceTablePage	index_maintenance_table_page_	index_maintenance			81	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10559,src/core/catalog_manager.cpp:10561,src/core/catalog_manager.cpp:10562,src/core/catalog_manager.cpp:12458,src/core/catalog_manager.cpp:19696,src/core/catalog_manager.cpp:20022
indexMaintenanceDeltasTablePage	index_maintenance_deltas_table_page_	index_maintenance_deltas			82	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10565,src/core/catalog_manager.cpp:10567,src/core/catalog_manager.cpp:10568,src/core/catalog_manager.cpp:12463,src/core/catalog_manager.cpp:19697,src/core/catalog_manager.cpp:20023
indexBuildDeltasTablePage	index_build_deltas_table_page_	index_build_deltas			83	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10571,src/core/catalog_manager.cpp:10573,src/core/catalog_manager.cpp:10574,src/core/catalog_manager.cpp:12468,src/core/catalog_manager.cpp:19698,src/core/catalog_manager.cpp:20024
indexStatsTablePage	index_stats_table_page_	index_stats			84	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10578,src/core/catalog_manager.cpp:10580,src/core/catalog_manager.cpp:10581,src/core/catalog_manager.cpp:12473,src/core/catalog_manager.cpp:19699,src/core/catalog_manager.cpp:20025
indexUsageTablePage	index_usage_table_page_	index_usage			85	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10584,src/core/catalog_manager.cpp:10586,src/core/catalog_manager.cpp:10587,src/core/catalog_manager.cpp:12478,src/core/catalog_manager.cpp:19700,src/core/catalog_manager.cpp:20026
indexContentionTablePage	index_contention_table_page_	index_contention			86	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10590,src/core/catalog_manager.cpp:10592,src/core/catalog_manager.cpp:10593,src/core/catalog_manager.cpp:12483,src/core/catalog_manager.cpp:19701,src/core/catalog_manager.cpp:20027
indexStorageTablePage	index_storage_table_page_	index_storage			87	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10596,src/core/catalog_manager.cpp:10598,src/core/catalog_manager.cpp:10599,src/core/catalog_manager.cpp:12488,src/core/catalog_manager.cpp:19702,src/core/catalog_manager.cpp:20028
indexHealthTablePage	index_health_table_page_	index_health			88	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10602,src/core/catalog_manager.cpp:10604,src/core/catalog_manager.cpp:10605,src/core/catalog_manager.cpp:12493,src/core/catalog_manager.cpp:19703,src/core/catalog_manager.cpp:20029
filespaceStatsTablePage	filespace_stats_table_page_	filespace_stats			89	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10609,src/core/catalog_manager.cpp:10611,src/core/catalog_manager.cpp:10612,src/core/catalog_manager.cpp:12498,src/core/catalog_manager.cpp:19704,src/core/catalog_manager.cpp:20030
lobTablePage	lob_table_page_	lob			90	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10615,src/core/catalog_manager.cpp:10617,src/core/catalog_manager.cpp:10618,src/core/catalog_manager.cpp:12503,src/core/catalog_manager.cpp:19705,src/core/catalog_manager.cpp:20031
lobPageTablePage	lob_page_table_page_	lob_page			91	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10621,src/core/catalog_manager.cpp:10623,src/core/catalog_manager.cpp:10624,src/core/catalog_manager.cpp:12508,src/core/catalog_manager.cpp:19706,src/core/catalog_manager.cpp:20032
backupHistoryTablePage	backup_history_table_page_	backup_history			92	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10627,src/core/catalog_manager.cpp:10629,src/core/catalog_manager.cpp:10630,src/core/catalog_manager.cpp:12513,src/core/catalog_manager.cpp:19707,src/core/catalog_manager.cpp:20033
connectionTablePage	connection_table_page_	connection			93	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10634,src/core/catalog_manager.cpp:10636,src/core/catalog_manager.cpp:10637,src/core/catalog_manager.cpp:12518,src/core/catalog_manager.cpp:19708,src/core/catalog_manager.cpp:20034
transactionTablePage	transaction_table_page_	transaction			94	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10640,src/core/catalog_manager.cpp:10642,src/core/catalog_manager.cpp:10643,src/core/catalog_manager.cpp:12523,src/core/catalog_manager.cpp:19709,src/core/catalog_manager.cpp:20035
authMappingTablePage	auth_mapping_table_page_	auth_mapping			117	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10779,src/core/catalog_manager.cpp:10781,src/core/catalog_manager.cpp:10782,src/core/catalog_manager.cpp:12638,src/core/catalog_manager.cpp:19732,src/core/catalog_manager.cpp:20058
authProviderTablePage	auth_provider_table_page_	auth_provider			98	0	0	no	read_failed_2002	15	2	0	src/core/catalog_manager.cpp:10665,src/core/catalog_manager.cpp:10667,src/core/catalog_manager.cpp:10668,src/core/catalog_manager.cpp:12543,src/core/catalog_manager.cpp:19713,src/core/catalog_manager.cpp:20039
authPolicyTablePage	auth_policy_table_page_	auth_policy			99	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10671,src/core/catalog_manager.cpp:10673,src/core/catalog_manager.cpp:10674,src/core/catalog_manager.cpp:12548,src/core/catalog_manager.cpp:19714,src/core/catalog_manager.cpp:20040
authAttemptLogTablePage	auth_attempt_log_table_page_	auth_attempt_log			103	1	0	no	ok	16	2	0	src/core/catalog_manager.cpp:10695,src/core/catalog_manager.cpp:10697,src/core/catalog_manager.cpp:10698,src/core/catalog_manager.cpp:12568,src/core/catalog_manager.cpp:19718,src/core/catalog_manager.cpp:20044
connectionRuleTablePage	connection_rule_table_page_	connection_rule			104	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10701,src/core/catalog_manager.cpp:10703,src/core/catalog_manager.cpp:10704,src/core/catalog_manager.cpp:12573,src/core/catalog_manager.cpp:19719,src/core/catalog_manager.cpp:20045
connectionRuleEpochTablePage	connection_rule_epoch_table_page_	connection_rule_epoch			105	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:10707,src/core/catalog_manager.cpp:10709,src/core/catalog_manager.cpp:10710,src/core/catalog_manager.cpp:12578,src/core/catalog_manager.cpp:19720,src/core/catalog_manager.cpp:20046
roleSettingTablePage	role_setting_table_page_	role_setting			118	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10785,src/core/catalog_manager.cpp:10787,src/core/catalog_manager.cpp:10788,src/core/catalog_manager.cpp:12643,src/core/catalog_manager.cpp:19733,src/core/catalog_manager.cpp:20059
securityLabelTablePage	security_label_table_page_	security_label			119	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10791,src/core/catalog_manager.cpp:10793,src/core/catalog_manager.cpp:10794,src/core/catalog_manager.cpp:12648,src/core/catalog_manager.cpp:19734,src/core/catalog_manager.cpp:20060
securityClassTablePage	security_class_table_page_	security_class			120	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10797,src/core/catalog_manager.cpp:10799,src/core/catalog_manager.cpp:10800,src/core/catalog_manager.cpp:12653,src/core/catalog_manager.cpp:19735,src/core/catalog_manager.cpp:20061
certRegistryTablePage	cert_registry_table_page_	cert_registry			121	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10803,src/core/catalog_manager.cpp:10805,src/core/catalog_manager.cpp:10806,src/core/catalog_manager.cpp:12658,src/core/catalog_manager.cpp:19736,src/core/catalog_manager.cpp:20062
privateKeyStoreTablePage	private_key_store_table_page_	private_key_store			122	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10809,src/core/catalog_manager.cpp:10811,src/core/catalog_manager.cpp:10812,src/core/catalog_manager.cpp:12663,src/core/catalog_manager.cpp:19737,src/core/catalog_manager.cpp:20063
trustAnchorTablePage	trust_anchor_table_page_	trust_anchor			123	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10815,src/core/catalog_manager.cpp:10817,src/core/catalog_manager.cpp:10818,src/core/catalog_manager.cpp:12668,src/core/catalog_manager.cpp:19738,src/core/catalog_manager.cpp:20064
channelCertBindingTablePage	channel_cert_binding_table_page_	channel_cert_binding			124	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10821,src/core/catalog_manager.cpp:10823,src/core/catalog_manager.cpp:10824,src/core/catalog_manager.cpp:12673,src/core/catalog_manager.cpp:19739,src/core/catalog_manager.cpp:20065
certRevocationTablePage	cert_revocation_table_page_	cert_revocation			125	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10827,src/core/catalog_manager.cpp:10829,src/core/catalog_manager.cpp:10830,src/core/catalog_manager.cpp:12678,src/core/catalog_manager.cpp:19740,src/core/catalog_manager.cpp:20066
pkiDistributionStateTablePage	pki_distribution_state_table_page_	pki_distribution_state			126	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10833,src/core/catalog_manager.cpp:10835,src/core/catalog_manager.cpp:10836,src/core/catalog_manager.cpp:12683,src/core/catalog_manager.cpp:19741,src/core/catalog_manager.cpp:20067
